"location","source","target"
"msg_0","[color(yellow)]？？？？[color(white)]
アクション！
珠閒瑠クライマックスシアターへようこそ☆
当施設のご利用は初めてでしょうか？[wait][clear][color(yellow)]？？？？[color(white)]
当シアターを案内させていただいています、
ミツギと申します！以後お見知りおきを。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
ここでは、最新鋭の映像技術を使用した
映像作品をご覧になることが出来ます。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
巷では、その映像のリアルから
まるで[color(pink)]本当に体験しているよう[color(white)]だ、
なんて噂になっています。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
また、こちらでは映画ご視聴終了毎に、
ポイントが加算されるシステムを
採用しております。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
ランクは、「ストアフロント」から開始され、
徐々に「上映施設名」がゴージャスになっていきます。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
ランクが上がることで、ミツギの対応が変化していく
素敵なシステムとなっております。
是非上位ランクを目指してください！[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
待遇は良いから値引いてくれ、と？
何をおっしゃいますお客様。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
我々は最新鋭の映像技術により、世界で唯一
この場所でのみ味わえる体験を
提供させていただいております。[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
安易な安売りはブランド力を貶めるだけでございます。
決して高い金額ではございません。
あきらめて、こちらの提示額をお支払いくださいませ。[wait][clear][end]","[color(yellow)]????[color(white)]
액션!
스마루 클라이맥스 시어터에 어서 오세요☆
이 시설의 이용은 처음이신가요?[wait][clear][color(yellow)]????[color(white)]
이 시어터의 안내를 맡고 있는
미츠기라고 합니다! 앞으로 잘 부탁드립니다.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
여기선 최신예 영상 기술을 사용한
영상 작품을 관람하실 수 있습니다.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
세간에선 이 영상의 리얼리티를 보고
마치 [color(pink)]실제로 체험하고 있는 것 같다[color(white)]라는
소문도 있습니다.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
또한 여기서 영상을 시청을 마치실 때마다
포인트를 적립하는 시스템을
채용하고 있습니다.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
랭크는 「스토어 프론트」부터 시작해서
점점 「상영시설명」이 호화롭게 변합니다.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
랭크가 올라가면 미츠기의 대응도 변화해 가는
멋진 시스템입니다.
부디 상위 랭크를 노려주세요![wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
대우는 됐으니까 깎아달라구요?
무슨 말씀이십니까, 고객님.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
저희는 최신예 영상 기술로 세계에서 유일하게
이곳에서만 맛볼 수 있는 체험을
제공해드리고 있습니다.[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
안이한 할인은 브랜드 가치를 깎아내릴 뿐입니다.
절대 높은 금액은 아닙니다.
포기하시고 이쪽에 제시된 금액을 지불해 주십시오.[wait][clear][end]"
"msg_1","[color(yellow)]シアターガイド・ミツギ[color(white)]
それでは、当シアターでクライマックスな体験を
お楽しみください。
[end_choice][clear][end]","[color(yellow)]시어터 가이드 미츠기[color(white)]
그럼, 저희 시어터에서 클라이맥스한 체험을
즐겨주세요.
[end_choice][clear][end]"
"msg_1_Choice1","作品を選ぶ",""
"msg_1_Choice2","[if(EBIT_SINARIOFF)]クライマックスシアター",""
"msg_1_Choice3","話を聞く",""
"msg_1_Choice4","シアターの外に出る",""
"msg_2","[color(yellow)]シアターガイド・ミツギ[color(white)]
アクション！
珠閒瑠クライマックスシアターへようこそ☆[wait][clear][color(yellow)]シアターガイド・ミツギ[color(white)]
あら、先日いらっしゃった
舞耶さん…でよろしかったでしょうか。[wait][clear][end]","[color(yellow)]시어터 가이드 미츠기[color(white)]
액션!
스마루 클라이맥스 시어터에 어서 오세요☆[wait][clear][color(yellow)]시어터 가이드 미츠기[color(white)]
어머, 저번에 오셨던
마야 씨…가 맞으시죠?[wait][clear][end]"
"msg_3","[color(yellow)]シアターガイド・ミツギ[color(white)]
本日はどうなさいますか？
[end_choice][clear][end]","[color(yellow)]시어터 가이드 미츠기[color(white)]
오늘은 어떻게 하시겠습니까?
[end_choice][clear][end]"
"msg_3_Choice1","作品を選ぶ",""
"msg_3_Choice2","[if(EBIT_SINARIOFF)]クライマックスシアター",""
