"location","source","target"
"msg_0","[color(yellow)]うらら[color(white)]
私ら、死んじゃったわけ…？
何だったのよぅ、私の人生…
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
나는 죽어버린건가...?
뭐였던걸까, 나의 인생은...
[sync][wait][clear][end]"
"msg_1","[color(yellow)]何者かの声[color(white)]
そうでは…ない…
私が…諸君を…招いた…
[sync][wait][clear][end]","[color(yellow)]누군가의 목소리[color(white)]
아니다...
내가... 제군... 불렀다...
[sync][wait][clear][end]"
"msg_2","[color(yellow)]フィレモン[color(white)]
私の名は…フィレモン…[delay(30)]
意識と無意識の狭間に…住まう者…
諸君に…ペルソナを与えた…者だ…
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
나는... 필레몬...[delay(30)]
의식과 무의식... 중간에 사는 자...
제군에게... 페르소나를 준... 자다....
[sync][wait][clear][end]"
"msg_3","[color(yellow)]フィレモン[color(white)]
[color(green)]絶えず人の自我を見守り啓示を与えていると言う、
普遍的無意識の創造性を象徴する元型。
何やら弱っている様子だが…[color(white)]
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
[color(green)]끊임없이 사람의 자아를 지켜보고 계시를 내린다고 알려진,
보편적 무의식의 창의성을 상징하는 원형.
어째서인지 약해보이는 모습이지만...[color(white)]
[sync][wait][clear][end]"
"msg_4","[color(yellow)]克哉[color(white)]
５０１号も同じ言葉を口にした…
これが夢だと受け入れて尋ねるが、
そのペルソナとは、一体何だ？
[sync][wait][clear][end]","[color(yellow)]카츠야[color(white)]
501호도 같은 말을 했지...
이걸 꿈이라고 생각하고 묻겠지만,
그 페르소나라는 건 도대체 뭐지?
[sync][wait][clear][end]"
"msg_5","[color(yellow)]フィレモン[color(white)]
諸君が得た力は…
人の心の奥底に潜む…
神や悪魔の如き…もう１人の己を呼び出す力…
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
제군들이 얻는 힘은...
사람의 마음 깊숙히 잠긴...
신이나 악마의 모습... 또 하나의 자신을 부르는 힘...
[sync][wait][clear][end]"
"msg_6","[color(yellow)]フィレモン[color(white)]
神の様に…慈愛に満ちた自分…
悪魔の如き…残酷な自分…
人は、様々な仮面を着けて…生きるもの…
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
신처럼…자애로 충만한 자신…
악마와 같이…잔혹한 자신…
사람은, 다양한 가면을 쓰고…살아가는 자…
[sync][wait][clear][end]"
"msg_7","[color(yellow)]フィレモン[color(white)]
今の諸君の姿も…無数の仮面の一つに過ぎん…
ペルソナもまた…数多ある君の姿の一つ…
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
지금 제군들의 모습도…그저 무수한 가면 중 하나…
페르소나도 또한…수많은 제군의 모습 중 하나…
[sync][wait][clear][end]"
"msg_8","[color(yellow)]克哉[color(white)]
物理的干渉力を持った、別自我…
元型のようなものだと言うことか…？
それを僕達に与えた目的は？
[sync][wait][clear][end]","[color(yellow)]카츠야[color(white)]
물리적인 힘을 가진, 또 다른 나...
그 원형과 같은 것이라는 건가...?
그것을 우리에게 준 이유는 뭐지?
[sync][wait][clear][end]"
"msg_9","[color(yellow)]うらら[color(white)]
か、会話が成立してる…
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
마, 말이 통하고 있어...
[sync][wait][clear][end]"
"msg_10","[color(yellow)]フィレモン[color(white)]
諸君に…頼み…ある…
私の…読み…甘かっ…
彼奴…仕組ん…因果の糸…あまり…深い…
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
제군... 부탁... 있다...
내... 흘려넘기지... 마라...
그 녀석... 짜인... 인과의 실... 매우... 깊다...
[sync][wait][clear][end]"
"msg_11","[color(yellow)]フィレモン[color(white)]
彼ら…血涙を流し…創…た「こちら側」……
救え……諸君しか…
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
그들... 피눈물을 흘리며... 만들어... ""이쪽 세계""...
구할......제군밖에............
[sync][wait][clear][end]"
"msg_12","[color(yellow)]克哉[color(white)]
どうした？
よく聞き取れない。
[sync][wait][clear][end]","[color(yellow)]카츠야[color(white)]
무슨 일이지?
이야기가 잘 들리지 않는다.
[sync][wait][clear][end]"
"msg_13","[color(yellow)]フィレモン[color(white)]
注意……噂が現実になる………
人…心に……光を………
[sync][wait][clear][end]","[color(yellow)]필레몬[color(white)]
조심... 소문... 현실이 된다.........
사람... 마음에... 빛을...
[sync][wait][clear][end]"
